ToolName	DataSource	SourceField	ID	Number	Type	Label	Description	Category	URL	DataURL	Hidden	AllowableValues	IsIndexed	InDefaultColumns
Funcotator	ACMG_recommendation	Disease_Name	ACMG_Disease	UNBOUNDED	String	ACMG Disease	This lists any diseases listed in ACMG associated with genes overlapping this variant	Genes and Gene Predictions	https://www.ncbi.nlm.nih.gov/clinvar/docs/acmg/	https://www.ncbi.nlm.nih.gov/clinvar/docs/acmg/acmg59_test_cleaned.txt			true	
Funcotator	ACMGLMMLof	LOF_Mechanism	ACMGLMM_LOF	UNBOUNDED	String	LMM LOF Mechanism	The mechanism of inheritance from custom list of genes found with (or without) LoF mechanisms in earlier studies from the Laboratory for Molecular Medicine (LMM). This datasource provides information whether a given gene was found in that list and whether there were any LoF variants found by the LMM.	Genes and Gene Predictions	https://gnomad.broadinstitute.org/news/2020-10-loss-of-function-curations-in-gnomad/	funcotator bundle			true	
Funcotator	ACMGLMMLof	Mode_of_Inheritance	ACMGLMM_MOI	UNBOUNDED	String	LMM Mode of Inheritance	Loss of function mechanism from custom list of genes found with (or without) LoF mechanisms in earlier studies from the Laboratory for Molecular Medicine (LMM). This datasource provides information whether a given gene was found in that list and whether there were any LoF variants found by the LMM.	Genes and Gene Predictions	https://gnomad.broadinstitute.org/news/2020-10-loss-of-function-curations-in-gnomad/	funcotator bundle			true	
Funcotator	ACMGLMMLof	Notes	ACMGLMM_GN	UNBOUNDED	String	LMM Genes Notes LOF	Custom list of genes found with (or without) LoF mechanisms in earlier studies from the Laboratory for Molecular Medicine (LMM). This datasource provides information whether a given gene was found in that list and whether there were any LoF variants found by the LMM. The ACMG59 recommendation list for clinical intervention. See https://www.ncbi.nlm.nih.gov/clinvar/docs/acmg/ for more information.	Genes and Gene Predictions	https://gnomad.broadinstitute.org/news/2020-10-loss-of-function-curations-in-gnomad/	funcotator bundle			true	
Funcotator	CADD	CADD_PH	CADD_Score	A	Float	CADD Score	"CADD phred scaled score, which is a prediction of the deleteriousness of this variant"	Genes and Gene Predictions	https://cadd.gs.washington.edu/				true	true
Funcotator	CGC	Cancer_Syndrome	CGC_Synd	UNBOUNDED	String	CGC Syndrome	Cancer Syndrome associated with genes overlapping this variant	Genes and Gene Predictions	https://cancer.sanger.ac.uk/census	ftp://gsapubftp-anonymous@ftp.broadinstitute.org/bundle/oncotator/			true	
Funcotator	CGC	GeneID	CGC_GeneID	UNBOUNDED	String	CGC Gene ID	GeneID The Cancer Gene Census (CGC) is an ongoing effort to catalogue those genes which contain mutations that have been causally implicated in cancer and explain how dysfunction of these genes drives cancer. This lists any overlapping genes implicated in cancer.	Genes and Gene Predictions	https://cancer.sanger.ac.uk/census	ftp://gsapubftp-anonymous@ftp.broadinstitute.org/bundle/oncotator/			true	
Funcotator	CGC	Mutation_Type	CGC_Mut_Type	UNBOUNDED	String	CGC Mutation Type	Mutation Type	Genes and Gene Predictions	https://cancer.sanger.ac.uk/census	ftp://gsapubftp-anonymous@ftp.broadinstitute.org/bundle/oncotator/			true	
Funcotator	CGC	Tissue_Type	CGC_Tissue	UNBOUNDED	String	CGC Tissue Types	Tissue Type	Genes and Gene Predictions	https://cancer.sanger.ac.uk/census	ftp://gsapubftp-anonymous@ftp.broadinstitute.org/bundle/oncotator/				
Funcotator	CGC	Tumour_Types_(Germline_Mutations)	CGC_Germline	UNBOUNDED	String	CGC Tumour Types (Germline)	Tumour types associated with mutations in an overlapping gene (germline mutations)	Genes and Gene Predictions	https://cancer.sanger.ac.uk/census	ftp://gsapubftp-anonymous@ftp.broadinstitute.org/bundle/oncotator/				
Funcotator	CGC	Tumour_Types__(Somatic_Mutations)	CGC_Somatic	UNBOUNDED	String	CGC Tumour Types (Somatic)	Tumour types associated with mutations in an overlapping gene (somatic mutations)	Genes and Gene Predictions	https://cancer.sanger.ac.uk/census	ftp://gsapubftp-anonymous@ftp.broadinstitute.org/bundle/oncotator/				
Funcotator	Capice	CAPICE	CAPICE	A	Float	CAPICE Score	Contains precomputed effect scores for InDels in genome build 37	Genes and Gene Predictions	https://github.com/molgenis/capice	https://download.molgeniscloud.org/downloads/vip/resources/GRCh37/			true	
Funcotator	Clinpred	ClinPredScore	ClinPredScore	A	Float	ClinPred Score	Pre-computed ClinPred scores for all possible human missense variants in the exome	Genes and Gene Predictions	https://pubmed.ncbi.nlm.nih.gov/30220433/	https://cvmfs-hubs.vhost38.genap.ca/~alirezai/ClinPred			true	
Funcotator	dbSNP	CAF	AFby1000KG	A	String	AF by 1000 Genomes	"An ordered, comma delimited list of allele frequencies based on 1000Genomes, starting with the reference allele followed by alternate alleles as ordered in the ALT column. Where a 1000Genomes alternate allele is not in the dbSNPs alternate allele set, the allele is added to the ALT column. The minor allele is the second largest value in the list, and was previuosly reported in VCF as the GMAF. This is the GMAF reported on the RefSNP and EntrezSNP pages and VariationReporter"	Variation and Repeats	https://www.ncbi.nlm.nih.gov/projects/SNP/snp_summary.cgi	ftp://ftp.ncbi.nih.gov/snp/organisms/human_9606_b151_GRCh37p13/VCF/All_20180423.vcf.gz			true	
Funcotator	dbSNP	COMMON	CommonSNP	A	String	Is Common Human SNP	RS is a common SNP. A common SNP is one that has at least one 1000Genomes population with a minor allele of frequency = 1% and for which 2 or more founders contribute to that minor allele frequency.	Variation and Repeats	https://www.ncbi.nlm.nih.gov/projects/SNP/snp_summary.cgi	ftp://ftp.ncbi.nih.gov/snp/organisms/human_9606_b151_GRCh37p13/VCF/All_20180423.vcf.gz			true	
Funcotator	dbSNP	dbSNPBuildID	dbSNPBuildID	A	String	dbSNP Build ID	First dbSNP Build for RS	Variation and Repeats	https://www.ncbi.nlm.nih.gov/projects/SNP/snp_summary.cgi	ftp://ftp.ncbi.nih.gov/snp/organisms/human_9606_b151_GRCh37p13/VCF/All_20180423.vcf.gz				
Funcotator	dbSNP	RS	RS	A	String	dbSNP ID	dbSNP ID (i.e. rs number)	Variation and Repeats	https://www.ncbi.nlm.nih.gov/projects/SNP/snp_summary.cgi	ftp://ftp.ncbi.nih.gov/snp/organisms/human_9606_b151_GRCh37p13/VCF/All_20180423.vcf.gz				
Funcotator	ERB	ERB_TYPE	ERB_TYPE	UNBOUNDED	String	Ensemble Regulatory Build Type	Ensembl Regulatory Build classification	Genes and Gene Predictions	http://useast.ensembl.org/info/genome/funcgen/index.html	http://ftp.ensembl.org/pub/current_regulation/homo_sapiens/homo_sapiens.GRCh38.Regulatory_Build.regulatory_features.20221007.gff.gz			true	
