ToolName	DataSource	SourceField	ID	Number	Type	Label	Description	Category	URL	DataURL	Hidden	AllowableValues	Category_dbNSFP	IsIndexed
SnpEff	SnpEff	IMPACT	IMPACT	A	String	Protein Coding IMPACT	"This is the predicted effect on protein coding, calculated by SnpEff"	Genes and Gene Predictions	https://pcingola.github.io/SnpEff/se_introduction/			"HIGH,LOW,MODERATE,MODIFIER"		true
SnpEff	SnpEff	HIG	HIG	A	String	Highly Impacted Genes	This lists any overlapping genes with a predicted high-impact effect on coding from this variant	Genes and Gene Predictions	https://pcingola.github.io/SnpEff/se_introduction/					true
SnpEff	SnpEff	HIG	OG	A	String	Overlapping Genes	"A comma-separated list of any overlapping genes, identified by SnpEff. This includes variants immediately upstream/downstream of the coding region"	Genes and Gene Predictions	https://pcingola.github.io/SnpEff/se_introduction/					true
SnpEff	SnpEff	HIG	VE	A	String	Variant Effect	"A comma-separated list of predicted variant effects, generated by SnpEff"	Genes and Gene Predictions	https://pcingola.github.io/SnpEff/se_introduction/					true
SnpEff	SnpEff	ANN	ANN	INTEGER	String	SnpEff Annotation	This field contains a summar of the predicted effect(s) on protein coding	Genes and Gene Predictions	https://pcingola.github.io/SnpEff/se_introduction/					true
GATK	mGAP	MAF	MAF	INTEGER	Float	Minor Allele Frequency	"The minor allele frequency (frequency of second most common allele), derived from the AF field. This includes the REF allele since in some cases this is not the most common allele"	Variation and Repeats						true
GATK	mGAP	AF	AF	A	Float	Allele Frequency	The allele frequency within this dataset	Variation and Repeats						true
mGAP	mGAP	mGAPV	mGAPV	INTEGER	String	mGAP Version	The first mGAP version where variants at this site appeared	mGAP						true
LiftOver	LiftOver	LiftedContig	LiftedContig	INTEGER	String	GRCh37 Contig	The name of the contig/chromosome after liftover	Genes and Gene Predictions						true
LiftOver	LiftOver	LiftedStart	LiftedStart	INTEGER	Integer	GRCh37 Start	The start position of the variant on the lifted contig	Genes and Gene Predictions						true
LiftOver	LiftOver	LiftedStop	LiftedStop	INTEGER	Integer	GRCh37 End	The end position of the variant on the lifted contig	Genes and Gene Predictions						true
